id,name,longitude,latitude,distance,rate,kinds,country
1794087,Сочи Парк Отель,39.9750671,43.4035492,5158.71545493,2,"accomodations,other_hotels",Россия
1794450,отель «нептун адлеркурорт»,39.8975143,43.4712753,5159.59394748,2,"accomodations,other_hotels",Россия
9580538,гостиница анна мария,39.9690361,43.3974533,5170.0686352,2,"accomodations,other_hotels",Россия
9580539,риффос,39.9695053,43.3972244,5215.5131751,2,"accomodations,other_hotels",Россия
5670300,пиано гостевои дом,39.9697838,43.3971329,5238.99870226,2,"accomodations,guest_houses",Россия
9580556,Корпус №12,39.9762077,43.4033356,5249.92353264,1,"accomodations,other_hotels",Россия
5670299,Анюта,39.9719849,43.3986855,5266.04944803,1,"guest_houses,accomodations",Россия
1794217,Победа,39.9712639,43.3979607,5271.29913987,1,"accomodations,other_hotels",Россия
9580540,Олимп Первая Линия,39.9704514,43.3969307,5294.69268831,1,"accomodations,other_hotels",Россия
9580541,MariAnna,39.9706573,43.3968468,5313.56461103,2,"accomodations,other_hotels",Россия
1794451,Смена,39.8976173,43.4727821,5312.74002308,1,"accomodations,other_hotels",Россия
5670291,мини-отель аида,39.9723816,43.3980942,5331.91196501,2,"accomodations,guest_houses",Россия
9580534,богородск олимпиискии пляж сочи,39.9708519,43.3967361,5333.42419047,2,"accomodations,other_hotels",Россия
5670290,Мэри,39.9723549,43.3976364,5362.51584979,1,"guest_houses,accomodations",Россия
1794449,спа-отель греис арли,39.8960495,43.4727669,5357.64885313,2,"accomodations,other_hotels",Россия
9580546,Small House,39.9728279,43.3979683,5368.98316924,2,"accomodations,guest_houses",Россия
9626091,гостевои дом южная звезда,39.9713783,43.3965683,5377.72927037,2,"accomodations,guest_houses",Россия
1794229,Грант,39.9713554,43.3965378,5378.63854461,2,"accomodations,guest_houses",Россия
5670301,хостел якорь,39.9730301,43.3979225,5385.07423508,2,"accomodations,hostels",Россия
5670306,Эв'рошель,39.971508,43.3963623,5400.76884032,1,"guest_houses,accomodations",Россия
9580533,мини-отель паруса,39.972805,43.3974571,5403.31685554,2,"accomodations,other_hotels",Россия
9626093,Адлер-Олимпик,39.9732704,43.3978348,5406.33077504,2,"accomodations,guest_houses",Россия
1794462,Ковчег,39.8959312,43.473175,5403.27040458,1,"accomodations,other_hotels",Россия
9580527,мини-отель о море,39.9737434,43.398098,5418.30464046,2,"accomodations,other_hotels",Россия
9580545,отель кавказ,39.9718666,43.3964195,5418.859347,2,"accomodations,other_hotels",Россия
5670315,Корпус №6,39.9779053,43.4023933,5422.09110961,1,"accomodations,other_hotels",Россия
9580555,Корпус №7,39.9785957,43.4031944,5423.59726953,1,"accomodations,other_hotels",Россия
9626092,гостевои дом наш дом,39.9734917,43.3977318,5427.52919992,2,"accomodations,guest_houses",Россия
1794463,отель алые паруса,39.8958855,43.4733353,5421.17103034,2,"accomodations,other_hotels",Россия
1794464,Мадрид Парк,39.8966484,43.4735756,5423.30198733,2,"accomodations,other_hotels",Россия
5670292,Пальма,39.9732666,43.3973274,5441.31499376,1,"guest_houses,accomodations",Россия
5670293,гостевои дом наш дом,39.9737282,43.3976479,5448.37483922,2,"accomodations,guest_houses",Россия
9626095,гостиница медовая,39.9008255,43.4748535,5444.83112384,2,"accomodations,guest_houses",Россия
1794476,Добрая сказка,39.9019585,43.4751396,5448.73041418,1,"accomodations,guest_houses",Россия
1794396,Black Sea,39.89328,43.4728508,5454.76971339,2,"accomodations,other_hotels",Россия
9580609,отель кристал,39.8957825,43.4736252,5454.24361846,2,"accomodations,other_hotels",Россия
13702014,гостевои дом олива,39.9741707,43.3975105,5486.0916624,1,"guest_houses,accomodations",Россия
11833415,гостевои дом олива,39.9741898,43.3975143,5486.96340407,1,"accomodations,guest_houses",Россия
5670311,Валентина,39.9739304,43.3970947,5499.44962508,1,"guest_houses,accomodations",Россия
1794465,Надежда,39.8961372,43.4741364,5496.31634343,1,"accomodations,other_hotels",Россия
1794474,гостиница парадиз,39.897419,43.4747925,5527.77650272,2,"accomodations,other_hotels",Россия
9621118,У Рузанны,39.8942642,43.473999,5539.5980924,2,"accomodations,guest_houses",Россия
1794243,Sigma Sirius Park,39.9785156,43.4009171,5551.53565862,1,"accomodations,other_hotels",Россия
9635959,отель олимпия адлер,39.8963623,43.4747047,5548.60504631,2,"accomodations,guest_houses",Россия
5670360,Алиса,39.8955154,43.4745483,5557.48857014,1,"guest_houses,accomodations",Россия
1794271,гостевои дом кукуруза,39.9828377,43.4060745,5573.93588318,2,"accomodations,guest_houses",Россия
5670361,Александрит,39.8958359,43.4746857,5562.01974774,1,"guest_houses,accomodations",Россия
1794475,Акватория,39.8972397,43.4750824,5562.90979417,1,"accomodations,other_hotels",Россия
9580521,Корпус 2,39.9797325,43.4018784,5578.16901855,1,"accomodations,apartments",Россия
1794270,гостевои дом мария,39.9827499,43.4056435,5588.75715637,2,"accomodations,guest_houses",Россия
1794395,отель zara,39.8936424,43.4742546,5585.36987826,2,"accomodations,other_hotels",Россия
9635960,"Остров ""Сочи""",39.8966904,43.4752426,5595.22525345,1,"guest_houses,accomodations",Россия
9635958,Приморье,39.8955994,43.4749413,5595.45930697,1,"guest_houses,accomodations",Россия
5004402,Sigma Sirius Park,39.9795609,43.401001,5617.65117396,1,"accomodations,apartments",Россия
9515279,Иветтис,39.8971062,43.4754829,5608.32696249,1,"accomodations,other_hotels",Россия
5670359,Байкал,39.8957214,43.4756432,5664.50024253,1,"guest_houses,accomodations",Россия
1794467,гостевои дом версаль 2,39.8937569,43.4750748,5665.53738808,2,"accomodations,guest_houses",Россия
1794268,Ангелина,39.9842072,43.4052429,5714.17067352,1,"accomodations,other_hotels",Россия
9580606,отель амалия,39.8992043,43.477047,5716.99301477,2,"accomodations,other_hotels",Россия
5670317,Золотой Шмель,39.9843903,43.4041939,5780.10100902,1,"guest_houses,accomodations",Россия
1794076,Radisson Collection Paradise Resort & Spa Sochi,39.9758415,43.3948212,5779.08928359,2,"accomodations,other_hotels",Россия
1794272,Ариетта,39.9853897,43.4054337,5790.96751546,1,"guest_houses,accomodations",Россия
9556756,чистые пруды,39.9778442,43.3963509,5799.85638415,2,"accomodations,apartments",Россия
1794478,Нагорная,39.897789,43.477459,5796.7649337,1,"guest_houses,accomodations",Россия
1794479,Буржуазия,39.8976479,43.4776192,5817.1241519,1,"guest_houses,accomodations",Россия
9621119,Солнечный город,39.8976021,43.477932,5851.26122099,1,"guest_houses,accomodations",Россия
9635962,Море-Ленд,39.8958511,43.47752,5855.78949471,1,"guest_houses,accomodations",Россия
1794099,Sea Side,39.9782486,43.3955421,5880.75463321,2,"accomodations,apartments",Россия
9515276,Sigma Sirius Park,39.9835587,43.4011612,5884.63460659,1,"accomodations,other_hotels",Россия
1794085,Sigma Sirius Park,39.9847527,43.4025803,5890.74347781,1,"accomodations,other_hotels",Россия
9580557,Русь,39.986515,43.4042969,5928.45607433,1,"accomodations,other_hotels",Россия
9954897,Белая Лилия,39.8955002,43.4781876,5935.03266334,1,"guest_houses,accomodations",Россия
1794466,гостиница эллас,39.8928032,43.4774628,5940.24915531,2,"accomodations,other_hotels",Россия
9580600,гостевои дом натали,39.8933105,43.4777489,5954.15344107,2,"accomodations,guest_houses",Россия
1794269,Фаворит,39.9865189,43.4035072,5968.41599181,1,"accomodations,other_hotels",Россия
9635961,Амалия,39.894104,43.477993,5955.39417799,1,"guest_houses,accomodations",Россия
9580608,уют отель,39.8928642,43.4776421,5956.61382373,2,"accomodations,resorts",Россия
9635963,Зеленый дворик,39.896019,43.4786491,5969.02242628,1,"guest_houses,accomodations",Россия
5670366,Сабрина,39.8936577,43.4781151,5981.37670565,1,"guest_houses,accomodations",Россия
11821536,экодом адлер,39.8945732,43.4784164,5985.4155846,2,"accomodations,other_hotels",Россия
1794100,Морской берег,39.9771881,43.3929443,5997.3111579,1,"guest_houses,accomodations",Россия
12365146,экодом адлер,39.8942528,43.4783821,5991.30242201,2,"accomodations,other_hotels",Россия
5670365,Дельфин,39.8916206,43.4778557,6017.89270595,1,"guest_houses,accomodations",Россия
9580610,пансионат солнышко,39.8944206,43.4787216,6021.54711078,2,"accomodations,resorts",Россия
9515280,гостевои дом лидия,39.8930321,43.4783936,6028.93573586,2,"accomodations,guest_houses",Россия
9621115,отель «море»,39.9806747,43.3954544,6042.96848338,2,"accomodations,guest_houses",Россия
5670364,гостиница пальма,39.8915367,43.4779816,6033.38133459,2,"accomodations,other_hotels",Россия
9580601,"Отель ""Вилла Рауза""",39.8954163,43.4799309,6119.5397713,1,"accomodations,other_hotels",Россия
9515278,санаторно-курортныи комплекс «знание»,39.8927116,43.4799995,6204.23504653,2,"accomodations,other_hotels",Россия
9580524,Арфа Парк-отель,39.9800873,43.3910446,6312.9483252,1,"accomodations,other_hotels",Россия
9644153,У дяди Вани,39.983448,43.3931313,6377.94483698,1,"guest_houses,accomodations",Россия
5670265,Лазурная бухта,39.9835396,43.3930664,6388.23013012,2,"accomodations,guest_houses",Россия
1794086,Арфа Парк Отель,39.9809418,43.3905754,6399.35573267,1,"accomodations,other_hotels",Россия
1794119,Жемчужина Черного моря,39.982933,43.3919716,6424.65931196,2,"accomodations,guest_houses",Россия
1794120,Надежда,39.9839134,43.3918953,6491.98370459,1,"guest_houses,accomodations",Россия
5670264,Юнона,39.9835472,43.3909264,6536.29828484,1,"guest_houses,accomodations",Россия
9635947,гостевои дом руссо,39.9860077,43.3931618,6541.38496393,2,"accomodations,guest_houses",Россия
