id,xid,name,longitude,latitude,distance,rate,osm,kinds,country
1770471,W74463952,Корпус № 9,37.3189659,44.9011497,706.93692943,1,way/74463952,"accomodations,other_hotels",Unknown
5667723,W223622494,Анапка-2,37.3094139,44.8907776,719.67741079,1,way/223622494,"guest_houses,accomodations",Unknown
1770622,N5684643798,Sunmarinn,37.3212547,44.9004898,719.85961761,2,node/5684643798,"accomodations,resorts",Россия
1770472,W74463968,Корпус № 7,37.3204346,44.9008636,722.70960606,1,way/74463968,"accomodations,other_hotels",Россия
1770510,N4424453289,Дуэт,37.3103333,44.8900108,731.18606991,2,node/4424453289,"accomodations,guest_houses",Россия
1770621,N765304901,отель плаза,37.3209381,44.9007721,733.22812021,2,node/765304901,"accomodations,other_hotels",Россия
9580139,W187765377,Каравелла,37.3256989,44.896244,761.08572384,1,way/187765377,"accomodations,other_hotels",Россия
1770469,N1983958510,отель капитан,37.3069382,44.8970871,764.28744167,2,node/1983958510,"accomodations,other_hotels",Россия
1770467,N4216898089,санатории «анапа океан»,37.306694,44.8965454,767.71107787,2,node/4216898089,"accomodations,other_hotels",Россия
9544368,N6582588248,Блум.,37.3084183,44.8902855,814.92806814,1,node/6582588248,"accomodations,other_hotels",Россия
5667716,W49217626,Корпус №1,37.3053741,44.8947792,855.78070703,1,way/49217626,"accomodations,other_hotels",Россия
1770634,N8531188017,гостевои дом апельсин,37.3270149,44.8961983,862.95153111,2,node/8531188017,"accomodations,guest_houses",Россия
1770418,R7192798,санатории «надежда»,37.3050575,44.8942757,884.96796241,2,relation/7192798,"accomodations,other_hotels",Unknown
9635828,W223632195,У бабушки Ани,37.3121605,44.8876305,889.28974454,1,way/223632195,"guest_houses,accomodations",Unknown
9580133,W223540068,Корпус №4,37.305172,44.8969345,894.58321325,1,way/223540068,"accomodations,other_hotels",Unknown
1770509,N3176620750,У Михалыча,37.3129807,44.8873901,893.89246536,1,node/3176620750,"guest_houses,accomodations",Россия
1770458,R7192799,"Санаторий ""ДиЛуч""",37.3049774,44.8967209,904.46873402,1,relation/7192799,"accomodations,other_hotels",Россия
1770437,N5709695165,Идилия,37.3054276,44.8921089,913.65839976,1,node/5709695165,"accomodations,other_hotels",Россия
9544367,N5709695160,гостевои дом черноморье,37.3055038,44.8919373,915.28338681,2,node/5709695160,"accomodations,guest_houses",Россия
9515144,N5709695158,гостиница мишель,37.3055687,44.8917389,919.0178758,2,node/5709695158,"accomodations,other_hotels",Россия
1770439,N4382435192,,37.306591,44.8903275,925.92097555,0,node/4382435192,"guest_houses,accomodations",Россия
9580135,W223540032,Корпус №6,37.3045921,44.8965569,931.12452124,1,way/223540032,"accomodations,other_hotels",Россия
1770412,N4379702995,,37.3090019,44.8883209,943.68725272,0,node/4379702995,"guest_houses,accomodations",Россия
1770655,N2310879962,"Гостевой дом ""Северная 9""",37.3239784,44.9016228,950.35149442,1,node/2310879962,"accomodations,guest_houses",Россия
5667715,W49217625,Корпус №2,37.304184,44.8941727,954.66964661,1,way/49217625,"accomodations,other_hotels",Россия
9580140,W775719168,Апарт-отель Мечта,37.3236732,44.9021454,980.56662566,1,way/775719168,"accomodations,other_hotels",Unknown
1770656,N4271092675,Анапа,37.3233376,44.9023285,981.29344922,1,node/4271092675,"guest_houses,accomodations",Unknown
9544369,W223519381,гостевои дом «раиское гнездышко»,37.30439,44.891655,1008.28393621,2,way/223519381,"accomodations,guest_houses",Unknown
1770654,N5725822040,Сибирь,37.3217964,44.9034462,1027.63126817,1,node/5725822040,"accomodations,other_hotels",Россия
9580126,W49217623,санатории «бфо»,37.3031006,44.8943138,1038.46752785,2,way/49217623,"accomodations,other_hotels",Россия
9544364,R7192797,санатории «бфо»,37.3032112,44.8932838,1045.62995427,2,relation/7192797,"accomodations,other_hotels",Россия
1770423,W232062898,,37.3031425,44.8931541,1053.70870862,0,way/232062898,"accomodations,other_hotels",Россия
9544373,W223282272,Аркона,37.3189354,44.9043617,1051.78221299,2,way/223282272,"accomodations,other_hotels",Россия
9526900,W223296338,,37.3234367,44.9032059,1066.80891444,0,way/223296338,"accomodations,other_hotels",Россия
5667756,W223864900,Rich Анапа,37.3296356,44.8966026,1074.28782587,1,way/223864900,"guest_houses,accomodations",Россия
1770486,N4254794393,Гостевой дом,37.3116455,44.886013,1071.85769268,1,node/4254794393,"accomodations,guest_houses",Россия
1770459,N3180527714,отель алые паруса,37.3111191,44.8861198,1075.78792132,2,node/3180527714,"accomodations,guest_houses",Россия
9621058,N1983961955,Лиза,37.3266983,44.9013481,1081.39513168,1,node/1983961955,"guest_houses,accomodations",Россия
5667755,W223864782,Семья,37.3298454,44.8962822,1085.82058533,1,way/223864782,"accomodations,guest_houses",Unknown
9580129,W174029872,Корпус №3/1,37.3027344,44.8927498,1095.16553323,1,way/174029872,"accomodations,other_hotels",Unknown
9580128,W174029871,Корпус №3,37.3025894,44.8930664,1098.66217374,1,way/174029871,"accomodations,other_hotels",Unknown
5667762,W223286411,Анапка,37.326561,44.901844,1109.5575207,1,way/223286411,"guest_houses,accomodations",Unknown
9580138,W156045662,гостиница континент,37.3294792,44.8984489,1112.78912851,2,way/156045662,"accomodations,other_hotels",Unknown
5667763,W223286556,,37.3263435,44.9020958,1116.33294946,0,way/223286556,"guest_houses,accomodations",Россия
9544366,N2154656583,Отель,37.3027649,44.8918571,1120.75087025,1,node/2154656583,"accomodations,other_hotels",Россия
9544374,W174463968,,37.3196831,44.9049454,1128.16097935,0,way/174463968,"accomodations,other_hotels",Россия
1770436,N5709782851,"БФО, АО",37.3019028,44.8941154,1134.62909755,1,node/5709782851,"accomodations,other_hotels",Россия
5667713,W223573700,гостевои дом пирамида,37.307148,44.8871803,1133.98069006,2,way/223573700,"accomodations,guest_houses",Россия
9621059,N4265628290,гостевои дом «атлант»,37.3271561,44.9020576,1160.53227065,2,node/4265628290,"accomodations,guest_houses",Россия
5667764,W223282067,,37.3275986,44.9016953,1160.83116571,0,way/223282067,"guest_houses,accomodations",Россия
1770401,W125853266,пансионат «нива»,37.305275,44.888073,1164.04356479,2,way/125853266,"accomodations,resorts",Россия
1770426,N8552185036,Аппартаменты на крепосной,37.3030319,44.8903389,1167.11973267,1,node/8552185036,"accomodations,guest_houses",Россия
9580131,W977561468,Корпус №7,37.301857,44.8918724,1188.42687939,1,way/977561468,"accomodations,other_hotels",Россия
5667757,W223286552,Милотель Маргарита,37.326992,44.9025574,1188.72789755,1,way/223286552,"guest_houses,accomodations",Unknown
